ID,Movie Name,Rating,Genre,Votes
105,Gol Maal,8.5,"Comedy, Romance",19546
106,Zübük,8.5,"Comedy, Crime, Drama",10370
107,Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",587265
108,Indiana Jones and the Raiders of the Lost Ark,8.4,"Action, Adventure",989947
109,Avengers: Endgame,8.4,"Action, Adventure, Drama",1184770
110,Django Unchained,8.4,"Drama, Western",1603393
111,Joker,8.4,"Crime, Drama, Thriller",1359786
112,Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",1127848
113,The Shining,8.4,"Drama, Horror",1051533
114,Oldboy,8.4,"Action, Drama, Mystery",597772
115,Apocalypse Now,8.4,"Drama, Mystery, War",683343
116,The Dark Knight Rises,8.4,"Action, Drama, Thriller",1745295
117,Memento,8.4,"Mystery, Thriller",1265891
118,Aliens,8.4,"Action, Adventure, Sci-Fi",733778
119,Come and See,8.4,"Drama, Thriller, War",86421
120,Hamilton,8.4,"Biography, Drama, History",102035
121,Your Name.,8.4,"Animation, Drama, Fantasy",288399
122,Coco,8.4,"Animation, Adventure, Comedy",537048
123,WALL·E,8.4,"Animation, Adventure, Family",1145840
124,Amadeus,8.4,"Biography, Drama, Music",410357
125,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"Comedy, War",501156
126,The Lives of Others,8.4,"Drama, Mystery, Thriller",397189
127,Capernaum,8.4,Drama,95635
128,Das Boot,8.4,"Drama, War",256013
129,Sunset Blvd.,8.4,"Drama, Film-Noir",227348
130,3 Idiots,8.4,"Comedy, Drama",411640
131,Paths of Glory,8.4,"Drama, War",202589
132,Witness for the Prosecution,8.4,"Crime, Drama, Mystery",129837
133,The Great Dictator,8.4,"Comedy, Drama, War",229102
134,High and Low,8.4,"Crime, Drama, Mystery",47996
135,Kaithi,8.4,"Action, Adventure, Crime",36311
136,Sardar Udham,8.4,"Biography, Crime, Drama",44244
137,Dil Bechara,8.4,"Comedy, Drama, Romance",132707
138,Asuran,8.4,"Action, Drama",31283
139,Sansho the Bailiff,8.4,Drama,17365
140,The Pinchcliffe Grand Prix,8.4,"Animation, Comedy, Family",13867
141,"When I Grow Up, I'll Be a Kangaroo",8.4,Comedy,11116
142,Vada Chennai,8.4,"Action, Crime, Drama",18304
143,Black Friday,8.4,"Action, Crime, Drama",21474
144,Philanthropy,8.4,"Comedy, Drama",13488
145,The Lizard,8.4,"Comedy, Drama",21422
146,Drishyam 2,8.4,"Crime, Drama, Thriller",39082
147,Thani Oruvan,8.4,"Action, Crime, Thriller",20773
148,Mahanati,8.4,"Biography, Drama",13499
149,Gentlemen of Fortune,8.4,"Comedy, Crime, Drama",12209
